Stage,Subtype,OncotypeDx,gBRCA,PDL1,RecommendedRegimen,TreatmentLine,NCCN_Category,Trial,급여여부,권장용량_표시,1회_용량(160cm/60kg)_mg,단가_표시
Stage II,TNBC,-,Yes,Positive,"Pembrolizumab, Paclitaxel, Carboplatin, Olaparib, Talazoparib",1st line,Category 2A,"KEYNOTE-522 / 355, KEYNOTE-522, KEYNOTE-522/355, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"200mg/3주, 80-175mg/m², AUC 5-6, 300mg/2회, 1mg 1일 1회","-, 208.2mg, -, -, 1.0mg","8,000원, 14,960원, 44,000원, 5,000원, 144,000원"
Stage II,HR+/HER2+,-,Yes,Negative,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HR+/HER2+,<11,Yes,Positive,"Tamoxifen, Letrozole, Anastrozole, Exemestane",Adjuvant,Category 1,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage III,HR-/HER2+,-,Yes,Positive,"Docetaxel, Carboplatin, Trastuzumab, Pertuzumab",Neoadjuvant,Category 2B,"CLEOPATRA (combo), KEYNOTE-522/355 (context), H0648g/HERceptin pivotal,CLEOPATRA",급여,"100mg/m², AUC 5-6, 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, -, 480.0mg, 840.0mg","256,000원, 44,000원, 7,000원, 6,300,000원"
Stage IV,TNBC,-,Yes,Negative,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine, Olaparib, Talazoparib",Neoadjuvant,Category 2A,"EMBRACE, CREATE-X, Various, Various, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m², 300mg/2회, 1mg 1일 1회","2.3mg, -, 49.0mg, 1633.0mg, -, 1.0mg","194,880원, 2,000원, 24,480원, 416,000원, 5,000원, 144,000원"
Stage I,HR+/HER2-,11-25,Yes,Negative,"CDK4/6, Letrozole",1st line,Category 1,"PALOMA/MONALEESA/MONARCH, BIG 1-98",급여,"125mg/1일, 2.5mg 1일 1회","-, 2.5mg","6,000원, 800원"
Stage II,HER2-low,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage IV,HER2-low,-,No,Positive,Fam-trastuzumab deruxtecan-nxki,Neoadjuvant,Category 2A,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage IV,HR+/HER2-,-,No,Positive,"Everolimus, Exemestane, Alpelisib, Fulvestrant",2nd+ line,Category 1,"BOLERO-2, IES, SOLAR-1, CONFIRM","급여, 급여, 비급여, 급여","10mg 1일 1회, 25mg 1일 1회, 300mg 1일 1회, 500mg (초회 및 유지)","10.0mg, 25.0mg, 300.0mg, 500.0mg","128,000원, 1,300원, 1,920,000원, 1,100,000원"
Stage IV,HR+/HER2+,-,Yes,Negative,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage III,HR+/HER2-,≥26,No,Negative,"Everolimus, Exemestane, Alpelisib, Fulvestrant",2nd+ line,Category 1,"BOLERO-2, IES, SOLAR-1, CONFIRM","급여, 급여, 비급여, 급여","10mg 1일 1회, 25mg 1일 1회, 300mg 1일 1회, 500mg (초회 및 유지)","10.0mg, 25.0mg, 300.0mg, 500.0mg","128,000원, 1,300원, 1,920,000원, 1,100,000원"
Stage II,HR+/HER2+,-,Yes,Positive,Ado-trastuzumab emtansine (T-DM1),Adjuvant,Category 2A,EMILIA / KATHERINE,급여,3.6mg/kg (3주 간격),216mg,"7,560,000원"
Stage IV,HR+/HER2-,-,No,Negative,"Capecitabine, Eribulin, Vinorelbine, Gemcitabine",Recurrent,Category 2B,"CREATE-X, EMBRACE, Various, Various",급여,"1250mg/m2, 1.4mg/m², 30mg/m², 1000mg/m²","-, 2.3mg, 49.0mg, 1633.0mg","2,000원, 194,880원, 24,480원, 416,000원"
Stage I,HR+/HER2+,-,No,Positive,"Paclitaxel, Trastuzumab",Neoadjuvant,Category 2B,"KEYNOTE-522 (context), H0648g/HERceptin pivotal",급여,"80-175mg/m², 8mg/kg 초기 후 6mg/kg","208.2mg, 480.0mg","14,960원, 7,000원"
Stage IV,HR+/HER2+,-,No,Positive,"Tucatinib, Trastuzumab, Capecitabine",Recurrent,Category 1,"HER2CLIMB, H0648g/HERceptin pivotal, CREATE-X","비급여, 급여, 급여","300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2","300.0mg, 480.0mg, -","3,000,000원, 7,000원, 2,000원"
Stage 0,HR+/HER2-,<11,No,Positive,"Tamoxifen, Letrozole, Anastrozole, Exemestane",Neoadjuvant,Category 1,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage I,HR-/HER2+,-,No,Negative,"Paclitaxel, Trastuzumab",Neoadjuvant,Category 2B,"KEYNOTE-522 (context), H0648g/HERceptin pivotal",급여,"80-175mg/m², 8mg/kg 초기 후 6mg/kg","208.2mg, 480.0mg","14,960원, 7,000원"
Stage IV,HR-/HER2+,-,No,Positive,"Tucatinib, Trastuzumab, Capecitabine",Neoadjuvant,Category 2A,"HER2CLIMB, H0648g/HERceptin pivotal, CREATE-X","비급여, 급여, 급여","300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2","300.0mg, 480.0mg, -","3,000,000원, 7,000원, 2,000원"
Stage I,HER2-low,-,Yes,Negative,Fam-trastuzumab deruxtecan-nxki,Recurrent,Category 2B,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage IV,HR+/HER2+,-,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage III,HR-/HER2+,-,No,Positive,"Docetaxel, Carboplatin, Trastuzumab, Pertuzumab",Neoadjuvant,Category 1,"CLEOPATRA (combo), KEYNOTE-522/355 (context), H0648g/HERceptin pivotal,CLEOPATRA",급여,"100mg/m², AUC 5-6, 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, -, 480.0mg, 840.0mg","256,000원, 44,000원, 7,000원, 6,300,000원"
Stage 0,HR+/HER2+,<11,No,Negative,"Tamoxifen, Letrozole, Anastrozole, Exemestane",Adjuvant,Category 2A,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage IV,HER2-low,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,Recurrent,Category 1,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage I,HR-/HER2+,-,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage II,HR+/HER2-,≥26,No,Negative,"CDK4/6, Letrozole",Recurrent,Category 2A,"PALOMA/MONALEESA/MONARCH, BIG 1-98",급여,"125mg/1일, 2.5mg 1일 1회","-, 2.5mg","6,000원, 800원"
Stage II,HR+/HER2+,-,Yes,Positive,Ado-trastuzumab emtansine (T-DM1),Adjuvant,Category 1,EMILIA / KATHERINE,급여,3.6mg/kg (3주 간격),216mg,"7,560,000원"
Stage 0,HR+/HER2-,<11,Yes,Positive,"Tamoxifen, Letrozole, Anastrozole, Exemestane",1st line,Category 2A,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage II,HR+/HER2-,≥26,Yes,Negative,"CDK4/6, Letrozole",1st line,Category 2A,"PALOMA/MONALEESA/MONARCH, BIG 1-98",급여,"125mg/1일, 2.5mg 1일 1회","-, 2.5mg","6,000원, 800원"
Stage I,HR+/HER2-,≥26,No,Negative,"Everolimus, Exemestane, Alpelisib, Fulvestrant",2nd+ line,Category 2A,"BOLERO-2, IES, SOLAR-1, CONFIRM","급여, 급여, 비급여, 급여","10mg 1일 1회, 25mg 1일 1회, 300mg 1일 1회, 500mg (초회 및 유지)","10.0mg, 25.0mg, 300.0mg, 500.0mg","128,000원, 1,300원, 1,920,000원, 1,100,000원"
Stage II,HR-/HER2+,-,Yes,Positive,"Docetaxel, Carboplatin, Trastuzumab, Pertuzumab",Neoadjuvant,Category 2A,"CLEOPATRA (combo), KEYNOTE-522/355 (context), H0648g/HERceptin pivotal,CLEOPATRA",급여,"100mg/m², AUC 5-6, 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, -, 480.0mg, 840.0mg","256,000원, 44,000원, 7,000원, 6,300,000원"
Stage I,HR+/HER2+,-,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage III,TNBC,-,Yes,Negative,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine, Olaparib, Talazoparib",Recurrent,Category 2A,"EMBRACE, CREATE-X, Various, Various, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m², 300mg/2회, 1mg 1일 1회","2.3mg, -, 49.0mg, 1633.0mg, -, 1.0mg","194,880원, 2,000원, 24,480원, 416,000원, 5,000원, 144,000원"
Stage 0,HR+/HER2-,<11,No,Positive,"Tamoxifen, Letrozole, Anastrozole, Exemestane",Recurrent,Category 2A,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage IV,TNBC,-,Yes,Negative,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine, Olaparib, Talazoparib",Neoadjuvant,Category 2A,"EMBRACE, CREATE-X, Various, Various, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m², 300mg/2회, 1mg 1일 1회","2.3mg, -, 49.0mg, 1633.0mg, -, 1.0mg","194,880원, 2,000원, 24,480원, 416,000원, 5,000원, 144,000원"
Stage II,HR-/HER2+,-,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage I,HR-/HER2+,-,No,Negative,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage III,HR+/HER2+,-,Yes,Positive,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2B,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage IV,HR+/HER2+,-,No,Positive,"Tucatinib, Trastuzumab, Capecitabine",Recurrent,Category 2B,"HER2CLIMB, H0648g/HERceptin pivotal, CREATE-X","비급여, 급여, 급여","300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2","300.0mg, 480.0mg, -","3,000,000원, 7,000원, 2,000원"
Stage III,HR+/HER2-,≥26,Yes,Positive,Letrozole,Neoadjuvant,Category 1,BIG 1-98,급여,2.5mg 1일 1회,2.5mg,800원
Stage III,HR+/HER2+,-,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage I,HR-/HER2+,-,Yes,Positive,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2B,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage IV,HR+/HER2+,-,Yes,Positive,"Tucatinib, Trastuzumab, Capecitabine",Adjuvant,Category 1,"HER2CLIMB, H0648g/HERceptin pivotal, CREATE-X","비급여, 급여, 급여","300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2","300.0mg, 480.0mg, -","3,000,000원, 7,000원, 2,000원"
Stage I,HR-/HER2+,-,Yes,Positive,"Paclitaxel, Trastuzumab",Neoadjuvant,Category 1,"KEYNOTE-522 (context), H0648g/HERceptin pivotal",급여,"80-175mg/m², 8mg/kg 초기 후 6mg/kg","208.2mg, 480.0mg","14,960원, 7,000원"
Stage IV,HER2-low,-,No,Positive,Fam-trastuzumab deruxtecan-nxki,Neoadjuvant,Category 2B,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage 0,HR+/HER2+,<11,Yes,Positive,"Tamoxifen, Letrozole, Anastrozole, Exemestane",Neoadjuvant,Category 2B,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage III,HR+/HER2+,-,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 2A,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HR+/HER2-,<11,Yes,Positive,"Tamoxifen, Letrozole, Anastrozole, Exemestane",2nd+ line,Category 1,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage I,TNBC,-,No,Negative,"Pembrolizumab, Carboplatin, Paclitaxel, Doxorubicin, Cyclophosphamide",Neoadjuvant,Category 2B,"KEYNOTE-522/355, KEYNOTE-522/355, KEYNOTE-522, Paclitaxel (AC → T)",선별급여(복합요법),"200mg/3주, AUC 5-6, 80-175mg/m², 60-75mg/m², 600mg/m²","-, -, 208.2mg, 110.2mg, 979.8mg","8,000원, 44,000원, 14,960원, 15,648원, 52,800원"
Stage 0,HR+/HER2-,<11,Yes,Negative,"Tamoxifen, Letrozole, Anastrozole, Exemestane",Adjuvant,Category 2B,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage II,HER2-low,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 1,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage II,HR+/HER2+,-,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage II,HR+/HER2+,-,No,Negative,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2A,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage 0,HR+/HER2-,<11,Yes,Negative,"Tamoxifen, Letrozole, Anastrozole, Exemestane",Recurrent,Category 2B,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage IV,HR+/HER2-,-,No,Positive,"Everolimus, Exemestane, Alpelisib, Fulvestrant",2nd+ line,Category 2B,"BOLERO-2, IES, SOLAR-1, CONFIRM","급여, 급여, 비급여, 급여","10mg 1일 1회, 25mg 1일 1회, 300mg 1일 1회, 500mg (초회 및 유지)","10.0mg, 25.0mg, 300.0mg, 500.0mg","128,000원, 1,300원, 1,920,000원, 1,100,000원"
Stage I,TNBC,-,Yes,Negative,"Sacituzumab govitecan-hziy, Olaparib, Talazoparib",2nd+ line,Category 1,"ASCENT, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"10mg/kg (1, 8일 투여, 21일 주기), 300mg/2회, 1mg 1일 1회","600.0mg, -, 1.0mg","12,000,000원, 5,000원, 144,000원"
Stage II,TNBC,-,Yes,Negative,"Eribulin, Capecitabine, Vinorelbine, Gemcitabine, Olaparib, Talazoparib",Recurrent,Category 2B,"EMBRACE, CREATE-X, Various, Various, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"1.4mg/m², 1250mg/m2, 30mg/m², 1000mg/m², 300mg/2회, 1mg 1일 1회","2.3mg, -, 49.0mg, 1633.0mg, -, 1.0mg","194,880원, 2,000원, 24,480원, 416,000원, 5,000원, 144,000원"
Stage IV,HR+/HER2-,-,Yes,Negative,"Capecitabine, Eribulin, Vinorelbine, Gemcitabine",Adjuvant,Category 2B,"CREATE-X, EMBRACE, Various, Various",급여,"1250mg/m2, 1.4mg/m², 30mg/m², 1000mg/m²","-, 2.3mg, 49.0mg, 1633.0mg","2,000원, 194,880원, 24,480원, 416,000원"
Stage I,HR-/HER2+,-,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",Recurrent,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage II,HR+/HER2-,11-25,No,Negative,Letrozole,Neoadjuvant,Category 2A,BIG 1-98,급여,2.5mg 1일 1회,2.5mg,800원
Stage III,HR+/HER2-,≥26,Yes,Positive,Letrozole,Neoadjuvant,Category 2B,BIG 1-98,급여,2.5mg 1일 1회,2.5mg,800원
Stage III,HR+/HER2-,≥26,No,Positive,"CDK4/6, Letrozole",Recurrent,Category 2A,"PALOMA/MONALEESA/MONARCH, BIG 1-98",급여,"125mg/1일, 2.5mg 1일 1회","-, 2.5mg","6,000원, 800원"
Stage IV,HR+/HER2+,-,Yes,Negative,"Tucatinib, Trastuzumab, Capecitabine",Recurrent,Category 2B,"HER2CLIMB, H0648g/HERceptin pivotal, CREATE-X","비급여, 급여, 급여","300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2","300.0mg, 480.0mg, -","3,000,000원, 7,000원, 2,000원"
Stage IV,HR+/HER2-,-,No,Negative,"CDK4/6, Letrozole, Palbociclib, Ribociclib, Abemaciclib, Fulvestrant",1st line,Category 2A,"PALOMA/MONALEESA/MONARCH, BIG 1-98, PALOMA-2, MONALEESA-2, monarchE / MONARCH 2,3, CONFIRM",급여,"125mg/1일, 2.5mg 1일 1회, 125mg 1일 1회, 600mg 1일 1회, 150mg 1일 2회, 500mg (초회 및 유지)","-, 2.5mg, 125.0mg, 600.0mg, 150.0mg, 500.0mg","6,000원, 800원, 850,000원, 2,160,000원, 1,485,000원, 1,100,000원"
Stage I,HR+/HER2+,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage IV,HR+/HER2-,-,Yes,Positive,"Capecitabine, Eribulin, Vinorelbine, Gemcitabine",Adjuvant,Category 2A,"CREATE-X, EMBRACE, Various, Various",급여,"1250mg/m2, 1.4mg/m², 30mg/m², 1000mg/m²","-, 2.3mg, 49.0mg, 1633.0mg","2,000원, 194,880원, 24,480원, 416,000원"
Stage I,HR+/HER2+,-,Yes,Negative,Ado-trastuzumab emtansine (T-DM1),Adjuvant,Category 2A,EMILIA / KATHERINE,급여,3.6mg/kg (3주 간격),216mg,"7,560,000원"
Stage I,TNBC,-,No,Negative,Pembrolizumab,Adjuvant,Category 2B,KEYNOTE-522 / 355,선별급여(복합요법),200mg/3주,-,"8,000원"
Stage III,HER2-low,-,Yes,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage II,HR+/HER2-,≥26,Yes,Positive,"Doxorubicin, Cyclophosphamide, Paclitaxel, Tamoxifen, Letrozole, Anastrozole, Exemestane, Abemaciclib",Adjuvant,Category 2B,"Paclitaxel (AC → T), KEYNOTE-522 (context), NSABP B-14/B-20, BIG 1-98, ATAC, IES, monarchE / MONARCH 2,3",급여,"60-75mg/m², 600mg/m², 80-175mg/m², 20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회, 150mg 1일 2회","110.2mg, 979.8mg, 208.2mg, -, 2.5mg, 1.0mg, 25.0mg, 150.0mg","15,648원, 52,800원, 14,960원, 100원, 800원, 290원, 1,300원, 1,485,000원"
Stage I,HR-/HER2+,-,No,Positive,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage II,HR+/HER2+,-,No,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage IV,HR+/HER2+,-,No,Positive,"Fam-trastuzumab deruxtecan-nxki, Tucatinib, Trastuzumab, Capecitabine, Margetuximab",2nd+ line,Category 2A,"DESTINY-Breast03/04, HER2CLIMB, H0648g/HERceptin pivotal, CREATE-X, SOPHIA","비급여, 비급여, 급여, 급여, 비급여","5.4mg/kg, 300mg 1일 2회, 8mg/kg 초기 후 6mg/kg, 1250mg/m2, 15mg/kg (3주 간격)","324.0mg, 300.0mg, 480.0mg, -, 900.0mg","4,536,000원, 3,000,000원, 7,000원, 2,000원, 11,250,000원"
Stage II,TNBC,-,Yes,Positive,"Capecitabine, Pembrolizumab, Olaparib, Talazoparib",Adjuvant,Category 1,"CREATE-X, KEYNOTE-522 / 355, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"1250mg/m2, 200mg/3주, 300mg/2회, 1mg 1일 1회","-, -, -, 1.0mg","2,000원, 8,000원, 5,000원, 144,000원"
Stage I,HR-/HER2+,-,Yes,Negative,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage II,HR-/HER2+,-,No,Negative,Fam-trastuzumab deruxtecan-nxki,2nd+ line,Category 2A,DESTINY-Breast03/04,급여,5.4mg/kg,324mg,"4,536,000원"
Stage II,TNBC,-,No,Positive,"Pembrolizumab, Paclitaxel, Carboplatin",1st line,Category 1,"KEYNOTE-522 / 355, KEYNOTE-522, KEYNOTE-522/355",선별급여(복합요법),"200mg/3주, 80-175mg/m², AUC 5-6","-, 208.2mg, -","8,000원, 14,960원, 44,000원"
Stage II,TNBC,-,Yes,Positive,"Pembrolizumab, Paclitaxel, Carboplatin, Olaparib, Talazoparib",1st line,Category 2B,"KEYNOTE-522 / 355, KEYNOTE-522, KEYNOTE-522/355, OlympiAD / OlympiA, EMBRACA",선별급여(복합요법),"200mg/3주, 80-175mg/m², AUC 5-6, 300mg/2회, 1mg 1일 1회","-, 208.2mg, -, -, 1.0mg","8,000원, 14,960원, 44,000원, 5,000원, 144,000원"
Stage 0,HR+/HER2-,<11,No,Negative,"Tamoxifen, Letrozole, Anastrozole, Exemestane",1st line,Category 2A,"NSABP B-14/B-20, BIG 1-98, ATAC, IES",급여,"20mg/1일, 2.5mg 1일 1회, 1mg 1일 1회, 25mg 1일 1회","-, 2.5mg, 1.0mg, 25.0mg","100원, 800원, 290원, 1,300원"
Stage IV,HR-/HER2+,-,No,Negative,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 2B,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage II,HR-/HER2+,-,Yes,Positive,"Docetaxel, Trastuzumab, Pertuzumab",1st line,Category 1,"CLEOPATRA (combo), H0648g/HERceptin pivotal, CLEOPATRA",급여,"100mg/m², 8mg/kg 초기 후 6mg/kg, 840mg 초기, 이후 420mg (3주 간격)","163.3mg, 480.0mg, 840.0mg","256,000원, 7,000원, 6,300,000원"
Stage II,TNBC,-,No,Negative,"Pembrolizumab, Carboplatin, Paclitaxel, Doxorubicin, Cyclophosphamide",Neoadjuvant,Category 2B,"KEYNOTE-522/355, KEYNOTE-522/355, KEYNOTE-522, Paclitaxel (AC → T)",선별급여(복합요법),"200mg/3주, AUC 5-6, 80-175mg/m², 60-75mg/m², 600mg/m²","-, -, 208.2mg, 110.2mg, 979.8mg","8,000원, 44,000원, 14,960원, 15,648원, 52,800원"
